date_started,date_ended,disaster_type,incident_type,incident_title,days_lasted,county,state,state_abbr,division_name,region_name,fip_code
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Henderson County,Illinois,IL,East North Central,Midwest,IL-071
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Lake County,Illinois,IL,East North Central,Midwest,IL-097
1967-04-25,1967-04-25,DR,Tornado,Tornadoes,0.0,Lake County,Illinois,IL,East North Central,Midwest,IL-097
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Lake County,Illinois,IL,East North Central,Midwest,IL-097
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Jo Daviess County,Illinois,IL,East North Central,Midwest,IL-085
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Jo Daviess County,Illinois,IL,East North Central,Midwest,IL-085
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Mercer County,Illinois,IL,East North Central,Midwest,IL-131
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Mercer County,Illinois,IL,East North Central,Midwest,IL-131
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,McHenry County,Illinois,IL,East North Central,Midwest,IL-111
1967-04-25,1967-04-25,DR,Tornado,Tornadoes,0.0,McHenry County,Illinois,IL,East North Central,Midwest,IL-111
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,McHenry County,Illinois,IL,East North Central,Midwest,IL-111
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Rock Island County,Illinois,IL,East North Central,Midwest,IL-161
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Rock Island County,Illinois,IL,East North Central,Midwest,IL-161
1965-04-25,1965-04-25,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Pike County,Illinois,IL,East North Central,Midwest,IL-149
2002-04-21,2002-05-23,DR,Tornado,"Severe Storms, Tornadoes And Flooding",32.0,Pike County,Illinois,IL,East North Central,Midwest,IL-149
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Pike County,Illinois,IL,East North Central,Midwest,IL-149
1965-05-11,1965-05-11,DR,Earthquake,Earthquake,0.0,King County,Washington,WA,Pacific,West,WA-033
2001-02-28,2001-03-16,DR,Earthquake,Earthquake,16.0,King County,Washington,WA,Pacific,West,WA-033
2005-08-29,2005-10-01,EM,Coastal Storm,Hurricane Katrina Evacuation,33.0,King County,Washington,WA,Pacific,West,WA-033
1965-05-11,1965-05-11,DR,Earthquake,Earthquake,0.0,Kitsap County,Washington,WA,Pacific,West,WA-035
